threshold,N,threads,time_seconds
200,5000000,1,0.564767
200,5000000,2,0.310359
200,5000000,3,0.286706
200,5000000,4,0.202344
200,5000000,5,0.194885
200,5000000,6,0.179115
200,5000000,7,0.156188
200,5000000,8,0.160619
200,10000000,1,1.173622
200,10000000,2,0.787594
200,10000000,3,0.631647
200,10000000,4,0.438754
200,10000000,5,0.363058
200,10000000,6,0.348433
200,10000000,7,0.276725
200,10000000,8,0.280012
200,50000000,1,6.37639
200,50000000,2,3.389622
200,50000000,3,3.322093
200,50000000,4,3.384598
200,50000000,5,2.450491
200,50000000,6,1.954035
200,50000000,7,1.763291
200,50000000,8,1.572298
200,100000000,1,13.361688
200,100000000,2,7.530699
200,100000000,3,7.14375
200,100000000,4,5.125779
200,100000000,5,4.035499
200,100000000,6,3.548643
200,100000000,7,3.362785
200,100000000,8,3.292771
1000,5000000,1,0.555424
1000,5000000,2,0.295865
1000,5000000,3,0.259138
1000,5000000,4,0.191362
1000,5000000,5,0.167412
1000,5000000,6,0.172739
1000,5000000,7,0.139114
1000,5000000,8,0.137585
1000,10000000,1,1.154837
1000,10000000,2,0.753174
1000,10000000,3,0.53461
1000,10000000,4,0.415219
1000,10000000,5,0.3418
1000,10000000,6,0.298584
1000,10000000,7,0.280238
1000,10000000,8,0.259952
1000,50000000,1,6.290762
1000,50000000,2,3.241221
1000,50000000,3,3.183222
1000,50000000,4,3.203499
1000,50000000,5,2.358922
1000,50000000,6,2.035737
1000,50000000,7,1.628361
1000,50000000,8,1.456026
1000,100000000,1,13.18891
1000,100000000,2,7.267261
1000,100000000,3,6.892896
1000,100000000,4,4.73455
1000,100000000,5,3.85169
1000,100000000,6,3.255836
1000,100000000,7,3.134846
1000,100000000,8,2.844038
200000,5000000,1,0.552722
200000,5000000,2,0.294153
200000,5000000,3,0.269353
200000,5000000,4,0.194603
200000,5000000,5,0.164314
200000,5000000,6,0.153413
200000,5000000,7,0.156717
200000,5000000,8,0.153272
200000,10000000,1,1.149696
200000,10000000,2,0.746059
200000,10000000,3,0.524748
200000,10000000,4,0.41002
200000,10000000,5,0.319227
200000,10000000,6,0.300682
200000,10000000,7,0.288861
200000,10000000,8,0.292479
200000,50000000,1,6.265543
200000,50000000,2,3.204113
200000,50000000,3,3.141168
200000,50000000,4,2.536032
200000,50000000,5,2.331881
200000,50000000,6,1.965422
200000,50000000,7,1.523986
200000,50000000,8,1.426207
200000,100000000,1,13.139088
200000,100000000,2,7.217159
200000,100000000,3,6.793028
200000,100000000,4,4.802775
200000,100000000,5,3.789457
200000,100000000,6,3.167149
200000,100000000,7,3.085038
200000,100000000,8,2.68832
